nb_nodes;latency;overhead
10;14;1
18;26;1
10;14;1
11;15;1
8;11;1
11;15;1
10;14;1
6;8;1
9;12;1
3;3;1
14;20;1
2;2;1
19;27;1
7;9;1
16;23;1
15;21;1
11;15;1
19;27;1
4;5;1
7;9;1
7;9;1
2;2;1
9;12;1
13;18;1
15;21;1
9;12;1
13;18;1
7;9;1
8;11;1
9;12;1
10;14;1
5;6;1
1;1;1
13;18;1
8;11;1
11;15;1
3;3;1
17;24;1
6;8;1
5;6;1
2;2;1
17;24;1
11;15;1
3;3;1
11;15;1
11;15;1
18;26;1
16;23;1
13;18;1
2;2;1
5;6;1
1;1;1
4;5;1
3;3;1
17;24;1
11;15;1
19;27;1
17;24;1
16;23;1
18;26;1
12;17;1
13;18;1
8;11;1
5;6;1
12;17;1
18;26;1
7;9;1
11;15;1
13;18;1
18;26;1
2;2;1
8;11;1
9;12;1
9;12;1
14;20;1
5;6;1
12;17;1
2;2;1
19;27;1
6;8;1
14;20;1
9;12;1
3;3;1
10;14;1
2;2;1
8;11;1
2;2;1
19;27;1
10;14;1
1;1;1
10;14;1
6;8;1
10;14;1
8;11;1
5;6;1
11;15;1
8;11;1
11;15;1
19;27;1
2;2;1
1;1;1
3;3;1
16;23;1
19;27;1
3;3;1
8;11;1
6;8;1
2;2;1
5;6;1
6;8;1
7;9;1
13;18;1
13;18;1
5;6;1
5;6;1
8;11;1
15;21;1
13;18;1
12;17;1
19;27;1
6;8;1
1;1;1
11;15;1
9;12;1
19;27;1
16;23;1
7;9;1
1;1;1
16;23;1
13;18;1
2;2;1
8;11;1
13;18;1
6;8;1
12;17;1
2;2;1
17;24;1
5;6;1
5;6;1
11;15;1
15;21;1
10;14;1
6;8;1
11;15;1
18;26;1
13;18;1
1;1;1
4;5;1
14;20;1
5;6;1
8;11;1
14;20;1
12;17;1
15;21;1
18;26;1
10;14;1
4;5;1
2;2;1
5;6;1
2;2;1
7;9;1
4;5;1
1;1;1
19;27;1
4;5;1
1;1;1
17;24;1
3;3;1
17;24;1
18;26;1
16;23;1
3;3;1
19;27;1
6;8;1
4;5;1
9;12;1
8;11;1
11;15;1
11;15;1
8;11;1
4;5;1
13;18;1
1;1;1
7;9;1
1;1;1
19;27;1
7;9;1
12;17;1
14;20;1
9;12;1
11;15;1
5;6;1
8;11;1
16;23;1
10;14;1
2;2;1
12;17;1
2;2;1
15;21;1
2;2;1
7;9;1
19;27;1
14;20;1
9;12;1
3;3;1
11;15;1
9;12;1
1;1;1
7;9;1
15;21;1
15;21;1
18;26;1
11;15;1
7;9;1
5;6;1
2;2;1
17;24;1
17;24;1
10;14;1
9;12;1
18;26;1
15;21;1
19;27;1
11;15;1
9;12;1
8;11;1
6;8;1
12;17;1
18;26;1
7;9;1
8;11;1
5;6;1
5;6;1
6;8;1
12;17;1
5;6;1
16;23;1
19;27;1
8;11;1
12;17;1
18;26;1
11;15;1
2;2;1
2;2;1
14;20;1
17;24;1
8;11;1
9;12;1
13;18;1
16;23;1
8;11;1
9;12;1
9;12;1
10;14;1
10;14;1
10;14;1
9;12;1
17;24;1
12;17;1
1;1;1
17;24;1
19;27;1
12;17;1
17;24;1
18;26;1
5;6;1
1;1;1
10;14;1
16;23;1
6;8;1
18;26;1
9;12;1
2;2;1
1;1;1
10;14;1
14;20;1
12;17;1
1;1;1
13;18;1
4;5;1
17;24;1
10;14;1
9;12;1
7;9;1
5;6;1
13;18;1
16;23;1
10;14;1
2;2;1
13;18;1
1;1;1
1;1;1
2;2;1
16;23;1
13;18;1
5;6;1
7;9;1
7;9;1
7;9;1
4;5;1
1;1;1
19;27;1
6;8;1
3;3;1
19;27;1
3;3;1
10;14;1
16;23;1
18;26;1
11;15;1
14;20;1
19;27;1
5;6;1
17;24;1
18;26;1
14;20;1
18;26;1
9;12;1
13;18;1
11;15;1
18;26;1
3;3;1
2;2;1
10;14;1
8;11;1
1;1;1
10;14;1
3;3;1
8;11;1
14;20;1
15;21;1
14;20;1
9;12;1
